tweet_id,writer,post_date,body,comment_num,retweet_num,like_num,polarity_spacy
1143326785465192448,87siddiqui,2019-06-25,#GOOG #BerkshireHathaway set to by Small stake in $GOOGL $SPY #QQQ #DonaldTrump,0,1,0,-0.25
1158055211191152641,Villigen,2019-08-04,Time for @WarrenBuffett/#BerkshireHathaway to buy $TSLA!,2,0,0,0.0
1158521775673761792,julieyoung456,2019-08-05,August 5: US Indexes Close Lower With China Trade WorriesS&P 500 down -2.98%http://gurufocus.com/news/922302$BRK.A $BRK.B $L $AAPL $V $IBM #USindexes #DowJones #SP500 #Nasdaq #ChineseYuan #ChinaTrade #BerkshireHathaway,0,1,0,-0.15555555555555559
1158748459815657472,julieyoung456,2019-08-06,August 5: US Indexes Close Lower With China Trade Worries https://finance.yahoo.com/news/us-indexes-close-lower-china-220123414.html?soc_src=social-sh&soc_trk=tw… via @YahooFinancehttp://gurufocus.com/news/922302$BRK.A $BRK.B $L $AAPL $V $IBM #USindexes #DowJones #SP500 #Nasdaq #ChineseYuan #ChinaTrade #BerkshireHathaway,0,1,0,0.0
1161112947449483265,EBITDAtrades,2019-08-13,Hahaha Charlie Munger is the funniest man in finance. Must read this $brk.a $brk.b $spy $ko $msft $bynd $baba $amzn $roku $l $gs $v $ma $ms $srpt $jd $ebay $lulu $mco $a $csiq $audc $mo $c $tmus $s #funny #BerkshireHathaway #money #Financial,0,4,4,0.15
1161743994646196224,DIS_Shareholder,2019-08-14,Warren Buffett's Berkshire Hathaway raises Amazon stake by 11% @CNBC #BerkshireHathaway $brk #amazon $amzn #bankstocks #banks #BankOfAmerica,1,0,2,0.0
1162054404230529029,SamoNaro,2019-08-15,"$BRK upped its stake in $amzn by 11%, #BerkshireHathaway revealed in a government filing Wednesday. Berkshire now owns 537,300 shares of #Amazon, worth $947 Mil. The holdings are as of the end of the 2ndQ@WarrenBuffett @JeffBezos",0,0,2,0.3
1162357374985932801,DiyImplementer,2019-08-16,"Agree about long term.But, is it a good time to load on $BRK-B before upcoming #Recession?With 2 new #BerkshireHathaway managers loading on overvalued stocks like $AMZN it's more likely for $BRK to lose 50% of its value like  they did during 2008 #Recession",0,0,0,0.2572727272727272
1170076960698982400,theponzifactor,2019-09-06,You know what else increased during this period? Ponzi assets: non-dividends stocks #Ponziassets #stocks #stockmarket #investing #affordablehousing @sfgov #inequality #inflation $GOOG #BerkshireHathaway #fraud $BRK,0,1,0,0.0
1191174228231544832,TenWilsons,2019-11-04,"$BRK market cap is $529B.  If you subtract cash $128B and equities of $232B, you effectively own all of the #BerkshireHathaway operating entities for ~$170 billion.  $19.5B of YTD operating earnings for 9 months or ~$26B annualized.  $AAPL $BAC $WFC $AXP $USB $JPM $KO $DAL $LUV",1,1,0,0.6
1192819134767255553,FinNewsNow,2019-11-08,Learn to #invest like #WarrenBuffett - read our article #FinancialNewsNow: http://bit.ly/FNN-3-Buffett-Style-Stocks…#StocksToWatch: @Apple $AAPL@BankofAmerica $BAC@CocaColaCo $KO#BerkshireHathaway $BRK.A#HelenofTroy $HELE@Generac $GNRC@UltaBeauty $ULTA#Microcaps,0,0,0,0.0
1195093729868161025,traderadam1,2019-11-14,#BerkshireHathaway NEW Holdings $RH and $OXY and cuts $WFC $SIRI $AAPL $PSX,0,0,0,0.13636363636363635
1202298724438831106,stockerblog,2019-12-04,"Warren Buffett Sold 750,000 Shares of Apple, But It’s Still His Largest Holding https://wstnn.com/warren-buffett-sold-750000-shares-of-apple-but-its-still-his-largest-holding/…#Apple $AAPL #WarrenBuffett @WarrenBuffett #Berkshire #BerkshireHathaway #stocks #StocksToTrade #StockMarket #stockmarketnews $BAC $WFC $KO $BRKA $BRKB $AXP",0,0,0,0.0
